Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block(s ) selecte d,prov_win_bid,Provisi onally Allocat ed Block( s) at end of clock round,prov_rank
2,Karnataka,800,Jio,No,0,240,8,1
2,Karnataka,800,Vodafone,No,0,0,0,0
2,Karnataka,900,Bharti,No,0,0,0,0
2,Karnataka,900,Jio,No,0,0,0,0
2,Karnataka,900,Vodafone,No,0,0,0,0
2,Karnataka,1800,Bharti,No,0,21.8,56,1
2,Karnataka,1800,Jio,No,0,21.8,25,2
2,Karnataka,1800,Vodafone,No,0,21.8,20,3
2,Karnataka,2100,Bharti,No,0,0,0,0
2,Karnataka,2100,Jio,No,0,0,0,0
1,Bihar,1800,Jio,Bid,25,17.6,25,1
1,Bihar,1800,Vodafone,No,0,0,0,0
1,Bihar,2100,Bharti,No,0,0,0,0
1,Bihar,2100,Jio,No,0,0,0,0
1,Bihar,2100,Vodafone,No,0,0,0,0
1,Bihar,2300,Bharti,Bid,1,70,1,2
1,Bihar,2300,Jio,Bid,1,70,1,1
1,Bihar,2300,Vodafone,No,0,0,0,0
1,Bihar,2500,Bharti,No,0,0,0,0
1,Bihar,2500,Jio,No,0,0,0,0
1,Bihar,2500,Vodafone,No,0,0,0,0
1,Delhi,700,Bharti,No,0,0,0,0
1,Delhi,700,Jio,No,0,0,0,0
1,Delhi,700,Vodafone,No,0,0,0,0
1,Delhi,800,Bharti,No,0,0,0,0
1,Delhi,800,Jio,Bid,7,800,7,1
1,Delhi,800,Vodafone,No,0,0,0,0
2,Karnataka,2100,Vodafone,No,0,0,0,0
2,Karnataka,2300,Bharti,No,0,0,0,0
2,Karnataka,2300,Jio,No,0,1120,1,1
2,Karnataka,2300,Vodafone,No,0,0,0,0
2,Karnataka,2500,Bharti,No,0,0,0,0
2,Karnataka,2500,Jio,No,0,0,0,0
2,Karnataka,2500,Vodafone,No,0,0,0,0
2,Kerala,700,Bharti,No,0,0,0,0
2,Kerala,700,Jio,No,0,0,0,0
2,Kerala,700,Vodafone,No,0,0,0,0
2,Kerala,800,Bharti,No,0,0,0,0
2,Kerala,800,Jio,No,0,196.25,8,1
2,Kerala,800,Vodafone,No,0,0,0,0
2,Kerala,900,Bharti,No,0,0,0,0
2,Kerala,900,Jio,No,0,0,0,0
2,Kerala,900,Vodafone,No,0,0,0,0
2,Kerala,1800,Bharti,No,0,19,25,2
2,Kerala,1800,Jio,No,0,19,25,1
2,Kerala,1800,Vodafone,No,0,0,0,0
2,Kerala,2100,Bharti,No,0,0,0,0
2,Kerala,2100,Jio,No,0,0,0,0
2,Kerala,2100,Vodafone,No,0,0,0,0
2,Kerala,2300,Bharti,No,0,200,1,2
2,Kerala,2300,Jio,No,0,200,1,1
2,Kerala,2300,Vodafone,No,0,0,0,0
2,Kolkata,700,Bharti,No,0,0,0,0
2,Kolkata,700,Jio,No,0,0,0,0
2,Kolkata,700,Vodafone,No,0,0,0,0
2,Kolkata,800,Bharti,No,0,0,0,0
2,Kolkata,800,Jio,No,0,200,8,1
2,Kolkata,800,Vodafone,No,0,0,0,0
2,Kolkata,900,Bharti,No,0,0,0,0
2,Kolkata,900,Jio,No,0,0,0,0
2,Kolkata,900,Vodafone,No,0,0,0,0
2,Kolkata,1800,Bharti,No,0,34.6,5,1
2,Kolkata,1800,Jio,No,0,0,0,0
2,Kolkata,1800,Vodafone,No,0,0,0,0
2,Kolkata,2100,Bharti,No,0,0,0,0
2,Kolkata,2100,Jio,No,0,0,0,0
2,Kolkata,2100,Vodafone,No,0,0,0,0
2,Kolkata,2300,Bharti,No,0,0,0,0
2,Kolkata,2300,Jio,No,0,380,1,1
2,Kolkata,2300,Vodafone,No,0,0,0,0
2,Kolkata,2500,Bharti,No,0,0,0,0
2,Kolkata,2500,Jio,No,0,0,0,0
2,Kolkata,2500,Vodafone,No,0,0,0,0
2,Madhya Pradesh,700,Bharti,No,0,0,0,0
2,Madhya Pradesh,700,Jio,No,0,0,0,0
2,Madhya Pradesh,700,Vodafone,No,0,0,0,0
2,Madhya Pradesh,800,Bharti,No,0,178.75,4,2
2,Madhya Pradesh,800,Jio,No,0,178.75,4,1
2,Madhya Pradesh,800,Vodafone,No,0,0,0,0
2,Madhya Pradesh,900,Bharti,No,0,0,0,0
2,Madhya Pradesh,900,Jio,No,0,0,0,0
2,Madhya Pradesh,900,Vodafone,No,0,0,0,0
2,Madhya Pradesh,1800,Bharti,No,0,19,21,1
2,Madhya Pradesh,1800,Jio,No,0,19,18,2
2,Madhya Pradesh,1800,Vodafone,No,0,0,0,0
2,Madhya Pradesh,2100,Bharti,No,0,0,0,0
2,Madhya Pradesh,2100,Jio,No,0,0,0,0
2,Madhya Pradesh,2100,Vodafone,No,0,0,0,0
2,Madhya Pradesh,2300,Bharti,No,0,90,1,2
2,Madhya Pradesh,2300,Jio,No,0,90,1,1
2,Madhya Pradesh,2300,Vodafone,No,0,0,0,0
2,Maharashtra,700,Bharti,No,0,0,0,0
2,Maharashtra,700,Jio,No,0,0,0,0
2,Maharashtra,700,Vodafone,No,0,0,0,0
2,Maharashtra,800,Bharti,No,0,637.5,2,2
2,Maharashtra,800,Jio,No,0,637.5,8,1
2,Maharashtra,800,Vodafone,No,0,0,0,0
2,Maharashtra,900,Bharti,No,0,0,0,0
2,Maharashtra,900,Jio,No,0,0,0,0
2,Maharashtra,900,Vodafone,No,0,0,0,0
2,Maharashtra,1800,Bharti,No,0,0,0,0
2,Maharashtra,1800,Jio,No,0,73,25,1
2,Maharashtra,1800,Vodafone,No,0,0,0,0
2,Maharashtra,2100,Bharti,No,0,0,0,0
2,Maharashtra,2100,Jio,No,0,0,0,0
2,Maharashtra,2100,Vodafone,No,0,0,0,0
2,Maharashtra,2300,Bharti,No,0,720,1,2
2,Maharashtra,2300,Jio,No,0,720,1,1
2,Maharashtra,2300,Vodafone,No,0,0,0,0
2,Maharashtra,2500,Bharti,No,0,0,0,0
2,Maharashtra,2500,Jio,No,0,0,0,0
2,Maharashtra,2500,Vodafone,No,0,0,0,0
2,Mumbai,700,Bharti,No,0,0,0,0
2,Mumbai,700,Jio,No,0,0,0,0
2,Mumbai,700,Vodafone,No,0,0,0,0
2,Mumbai,800,Bharti,No,0,0,0,0
2,Mumbai,800,Jio,No,0,908.75,6,1
2,Mumbai,800,Vodafone,No,0,0,0,0
2,Mumbai,900,Bharti,No,0,0,0,0
2,Mumbai,900,Jio,No,0,0,0,0
2,Mumbai,900,Vodafone,No,0,0,0,0
2,Mumbai,1800,Bharti,No,0,0,0,0
2,Mumbai,1800,Jio,No,0,112.2,17,1
2,Mumbai,1800,Vodafone,No,0,0,0,0
2,Mumbai,2100,Bharti,No,0,0,0,0
2,Mumbai,2100,Jio,No,0,0,0,0
2,Mumbai,2100,Vodafone,No,0,0,0,0
2,Mumbai,2300,Bharti,No,0,0,0,0
2,Mumbai,2300,Jio,No,0,1670,1,1
2,Mumbai,2300,Vodafone,No,0,0,0,0
2,Mumbai,2500,Bharti,No,0,0,0,0
2,Mumbai,2500,Jio,No,0,0,0,0
2,Mumbai,2500,Vodafone,No,0,0,0,0
2,North East,700,Bharti,No,0,0,0,0
2,North East,700,Jio,No,0,0,0,0
2,North East,700,Vodafone,No,0,0,0,0
2,North East,800,Bharti,No,0,0,0,0
2,North East,800,Jio,No,0,0,0,0
2,North East,800,Vodafone,No,0,0,0,0
2,North East,900,Bharti,No,0,4.6,6,1
2,North East,900,Jio,No,0,0,0,0
2,North East,900,Vodafone,No,0,0,0,0
2,North East,1800,Bharti,No,0,0,0,0
2,North East,1800,Jio,No,0,3.4,18,1
2,North East,1800,Vodafone,No,0,0,0,0
2,North East,2100,Bharti,No,0,30,1,1
2,North East,2100,Jio,No,0,0,0,0
2,North East,2100,Vodafone,No,0,0,0,0
2,North East,2300,Bharti,No,0,10,1,2
2,North East,2300,Jio,No,0,10,1,1
2,North East,2300,Vodafone,No,0,0,0,0
2,Odisha,700,Bharti,No,0,0,0,0
2,Odisha,700,Jio,No,0,0,0,0
2,Odisha,700,Vodafone,No,0,0,0,0
2,Odisha,800,Bharti,No,0,0,0,0
2,Odisha,800,Jio,No,0,58.75,4,1
2,Odisha,800,Vodafone,No,0,0,0,0
2,Odisha,900,Bharti,No,0,17.2,19,1
2,Odisha,900,Jio,No,0,0,0,0
2,Odisha,900,Vodafone,No,0,0,0,0
2,Odisha,1800,Bharti,No,0,0,0,0
2,Odisha,1800,Jio,No,0,5.4,25,1
2,Odisha,1800,Vodafone,No,0,0,0,0
2,Odisha,2100,Bharti,No,0,0,0,0
2,Odisha,2100,Jio,No,0,0,0,0
2,Odisha,2100,Vodafone,No,0,0,0,0
2,Odisha,2300,Bharti,No,0,50,1,2
2,Odisha,2300,Jio,No,0,50,1,1
2,Odisha,2300,Vodafone,No,0,0,0,0
2,Punjab,700,Bharti,No,0,0,0,0
2,Punjab,700,Jio,No,0,0,0,0
2,Punjab,700,Vodafone,No,0,0,0,0
2,Punjab,800,Bharti,No,0,0,0,0
2,Punjab,800,Jio,No,0,196.25,5,1
2,Punjab,800,Vodafone,No,0,0,0,0
2,Punjab,1800,Bharti,No,0,17.6,25,1
2,Punjab,1800,Jio,No,0,17.6,24,2
2,Punjab,1800,Vodafone,No,0,0,0,0
2,Punjab,2100,Bharti,No,0,0,0,0
2,Punjab,2100,Jio,No,0,0,0,0
2,Punjab,2100,Vodafone,No,0,0,0,0
2,Punjab,2300,Bharti,No,0,210,2,2
2,Punjab,2300,Jio,No,0,210,2,1
2,Punjab,2300,Vodafone,No,0,0,0,0
2,Punjab,2500,Bharti,No,0,0,0,0
2,Punjab,2500,Jio,No,0,0,0,0
2,Punjab,2500,Vodafone,No,0,0,0,0
1,Delhi,900,Bharti,No,0,0,0,0
1,Delhi,900,Jio,No,0,0,0,0
1,Delhi,900,Vodafone,No,0,0,0,0
1,Delhi,1800,Bharti,No,0,0,0,0
1,Delhi,1800,Jio,Bid,23,91.4,23,1
1,Delhi,1800,Vodafone,No,0,0,0,0
1,Delhi,2100,Bharti,No,0,0,0,0
1,Delhi,2100,Jio,No,0,0,0,0
1,Delhi,2100,Vodafone,No,0,0,0,0
1,Delhi,2300,Bharti,No,0,0,0,0
1,Delhi,2300,Jio,Bid,1,1640,1,1
1,Delhi,2300,Vodafone,No,0,0,0,0
1,Delhi,2500,Bharti,No,0,0,0,0
1,Delhi,2500,Jio,No,0,0,0,0
1,Delhi,2500,Vodafone,No,0,0,0,0
1,Gujarat,700,Bharti,No,0,0,0,0
1,Gujarat,700,Jio,No,0,0,0,0
2,Rajasthan,700,Bharti,No,0,0,0,0
2,Rajasthan,700,Jio,No,0,0,0,0
2,Rajasthan,700,Vodafone,No,0,0,0,0
2,Rajasthan,800,Bharti,No,0,0,0,0
2,Rajasthan,800,Jio,No,0,332.5,4,1
2,Rajasthan,800,Vodafone,No,0,0,0,0
2,Rajasthan,1800,Bharti,No,0,0,0,0
2,Rajasthan,1800,Jio,No,0,0,0,0
2,Rajasthan,1800,Vodafone,No,0,0,0,0
2,Rajasthan,2300,Bharti,No,0,60,2,2
2,Rajasthan,2300,Jio,No,0,60,2,1
2,Rajasthan,2300,Vodafone,No,0,0,0,0
2,Tamil Nadu,700,Bharti,No,0,0,0,0
2,Tamil Nadu,700,Jio,No,0,0,0,0
2,Tamil Nadu,700,Vodafone,No,0,0,0,0
2,Tamil Nadu,800,Bharti,No,0,0,0,0
2,Tamil Nadu,800,Jio,No,0,217.5,8,1
2,Tamil Nadu,800,Vodafone,No,0,0,0,0
2,Tamil Nadu,900,Bharti,No,0,47,25,1
2,Tamil Nadu,900,Jio,No,0,0,0,0
2,Tamil Nadu,900,Vodafone,No,0,47,25,2
2,Tamil Nadu,1800,Bharti,No,0,20,50,1
2,Tamil Nadu,1800,Jio,No,0,20,16,2
2,Tamil Nadu,1800,Vodafone,No,0,0,0,0
2,Tamil Nadu,2300,Bharti,No,0,0,0,0
2,Tamil Nadu,2300,Jio,No,0,1510,1,1
2,Tamil Nadu,2300,Vodafone,No,0,0,0,0
2,Tamil Nadu,2500,Bharti,No,0,0,0,0
2,Tamil Nadu,2500,Jio,No,0,0,0,0
2,Tamil Nadu,2500,Vodafone,No,0,0,0,0
2,Uttar Pradesh (East),700,Bharti,No,0,0,0,0
2,Uttar Pradesh (East),700,Jio,No,0,0,0,0
2,Uttar Pradesh (East),700,Vodafone,No,0,0,0,0
2,Uttar Pradesh (East),800,Bharti,No,0,0,0,0
2,Uttar Pradesh (East),800,Jio,No,0,313.75,4,1
2,Uttar Pradesh (East),800,Vodafone,No,0,0,0,0
2,Uttar Pradesh (East),900,Bharti,No,0,52.4,25,1
2,Uttar Pradesh (East),900,Jio,No,0,0,0,0
2,Uttar Pradesh (East),900,Vodafone,No,0,0,0,0
2,Uttar Pradesh (East),1800,Bharti,No,0,30.6,16,2
2,Uttar Pradesh (East),1800,Jio,No,0,30.6,18,1
2,Uttar Pradesh (East),1800,Vodafone,No,0,30.6,7,3
2,Uttar Pradesh (East),2300,Bharti,No,0,90,2,2
2,Uttar Pradesh (East),2300,Jio,No,0,90,2,1
2,Uttar Pradesh (East),2300,Vodafone,No,0,0,0,0
2,Uttar Pradesh (West),700,Bharti,No,0,0,0,0
2,Uttar Pradesh (West),700,Jio,No,0,0,0,0
2,Uttar Pradesh (West),700,Vodafone,No,0,0,0,0
2,Uttar Pradesh (West),800,Bharti,No,0,201.25,4,2
2,Uttar Pradesh (West),800,Jio,No,0,201.25,4,1
