Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,Karnataka,1800, Tata Tele,no,0,0,0,0
1,Karnataka,1800,RCL,Bid,3,37,3,2
1,Karnataka,1800,Telewings,no,0,0,0,0
1,Karnataka,1800,Bharti,no,0,0,0,0
1,Karnataka,1800,Jio,no,0,0,0,0
1,Karnataka,2100,Vodafone,no,0,0,0,0
1,Karnataka,2100,Aircel,no,0,0,0,0
1,Karnataka,2100,Idea,no,0,0,0,0
1,Karnataka,2100, Tata Tele,no,0,0,0,0
1,Karnataka,2100,RCL,no,0,0,0,0
1,Karnataka,2100,Telewings,no,0,0,0,0
1,Karnataka,2100,Bharti,no,0,0,0,0
1,Karnataka,2100,Jio,no,0,0,0,0
1,Kerala,900,Vodafone,Bid,31,33.6,31,1
1,Kerala,900,Aircel,no,0,0,0,0
1,Kerala,900,Idea,Bid,25,33.6,25,2
1,Kerala,900, Tata Tele,no,0,0,0,0
1,Kerala,900,RCL,no,0,0,0,0
1,Kerala,900,Telewings,no,0,0,0,0
1,Kerala,900,Bharti,no,0,0,0,0
1,Kerala,900,Jio,Bid,25,33.6,0,0
1,Kerala,1800,Vodafone,no,0,0,0,0
1,Kerala,1800,Aircel,no,0,0,0,0
1,Kerala,1800,Idea,no,0,0,0,0
1,Kerala,1800, Tata Tele,no,0,0,0,0
1,Kerala,1800,RCL,no,0,0,0,0
1,Kerala,1800,Telewings,no,0,0,0,0
1,Kerala,1800,Bharti,no,0,0,0,0
1,Kerala,1800,Jio,no,0,0,0,0
1,Kerala,2100,Vodafone,Bid,1,555,1,1
1,Kerala,2100,Aircel,no,0,0,0,0
1,Kerala,2100,Idea,no,0,0,0,0
1,Kerala,2100, Tata Tele,no,0,0,0,0
1,Kerala,2100,RCL,no,0,0,0,0
1,Kerala,2100,Telewings,no,0,0,0,0
1,Kerala,2100,Bharti,Bid,1,555,0,0
1,Kerala,2100,Jio,no,0,0,0,0
1,Kolkata,800,Vodafone,no,0,0,0,0
1,Kolkata,800,Aircel,no,0,0,0,0
1,Kolkata,800,Idea,no,0,0,0,0
1,Kolkata,800, Tata Tele,no,0,0,0,0
1,Kolkata,800,RCL,no,0,0,0,0
1,Kolkata,800,Telewings,no,0,0,0,0
1,Kolkata,800,Bharti,no,0,0,0,0
1,Kolkata,800,Jio,no,0,0,0,0
1,Kolkata,1800,Vodafone,no,0,0,0,0
1,Kolkata,1800,Aircel,no,0,0,0,0
1,Kolkata,1800,Idea,no,0,0,0,0
1,Kolkata,1800, Tata Tele,no,0,0,0,0
1,Kolkata,1800,RCL,no,0,0,0,0
1,Kolkata,1800,Telewings,no,0,0,0,0
1,Kolkata,1800,Bharti,Bid,24,14.6,24,1
1,Kolkata,1800,Jio,no,0,0,0,0
1,Kolkata,2100,Vodafone,no,0,0,0,0
1,Kolkata,2100,Aircel,no,0,0,0,0
1,Kolkata,2100,Idea,Bid,1,545,1,1
1,Kolkata,2100, Tata Tele,no,0,0,0,0
1,Kolkata,2100,RCL,no,0,0,0,0
1,Kolkata,2100,Telewings,no,0,0,0,0
1,Kolkata,2100,Bharti,Bid,1,545,0,0
1,Kolkata,2100,Jio,no,0,0,0,0
1,Madhya Pradesh,800,Vodafone,no,0,0,0,0
1,Madhya Pradesh,800,Aircel,no,0,0,0,0
1,Madhya Pradesh,800,Idea,Bid,4,113.75,4,1
1,Madhya Pradesh,800, Tata Tele,no,0,0,0,0
1,Madhya Pradesh,800,RCL,no,0,0,0,0
1,Madhya Pradesh,800,Telewings,no,0,0,0,0
1,Madhya Pradesh,800,Bharti,Bid,4,113.75,0,0
1,Madhya Pradesh,800,Jio,no,0,0,0,0
1,Madhya Pradesh,900,Vodafone,no,0,0,0,0
1,Madhya Pradesh,900,Aircel,no,0,0,0,0
1,Madhya Pradesh,900,Idea,Bid,25,35,25,1
1,Madhya Pradesh,900, Tata Tele,Bid,25,35,25,2
1,Madhya Pradesh,900,RCL,Bid,25,35,0,0
1,Madhya Pradesh,900,Telewings,no,0,0,0,0
1,Madhya Pradesh,900,Bharti,no,0,0,0,0
1,Madhya Pradesh,900,Jio,no,0,0,0,0
1,Madhya Pradesh,2100,Vodafone,Bid,1,435,1,1
1,Madhya Pradesh,2100,Aircel,no,0,0,0,0
1,Madhya Pradesh,2100,Idea,no,0,0,0,0
1,Madhya Pradesh,2100, Tata Tele,no,0,0,0,0
1,Madhya Pradesh,2100,RCL,no,0,0,0,0
1,Madhya Pradesh,2100,Telewings,no,0,0,0,0
1,Madhya Pradesh,2100,Bharti,Bid,1,435,0,0
1,Madhya Pradesh,2100,Jio,no,0,0,0,0
1,Maharashtra,800,Vodafone,no,0,0,0,0
1,Maharashtra,800,Aircel,no,0,0,0,0
1,Maharashtra,800,Idea,no,0,0,0,0
1,Maharashtra,800, Tata Tele,no,0,0,0,0
1,Maharashtra,800,RCL,no,0,0,0,0
1,Maharashtra,800,Telewings,no,0,0,0,0
1,Maharashtra,800,Bharti,Bid,3,423.75,3,1
1,Maharashtra,800,Jio,no,0,0,0,0
1,Maharashtra,900,Vodafone,Bid,35,105,35,1
1,Maharashtra,900,Aircel,no,0,0,0,0
1,Maharashtra,900,Idea,Bid,25,105,25,2
1,Maharashtra,900, Tata Tele,Bid,25,105,0,0
1,Maharashtra,900,RCL,Bid,25,105,0,0
1,Maharashtra,900,Telewings,no,0,0,0,0
1,Maharashtra,900,Bharti,no,0,0,0,0
1,Maharashtra,900,Jio,Bid,25,105,0,0
1,Maharashtra,2100,Vodafone,no,0,0,0,0
1,Maharashtra,2100,Aircel,no,0,0,0,0
1,Maharashtra,2100,Idea,no,0,0,0,0
1,Maharashtra,2100, Tata Tele,no,0,0,0,0
1,Maharashtra,2100,RCL,no,0,0,0,0
1,Maharashtra,2100,Telewings,no,0,0,0,0
1,Maharashtra,2100,Bharti,Bid,1,1505,1,1
1,Maharashtra,2100,Jio,no,0,0,0,0
1,Mumbai,800,Vodafone,no,0,0,0,0
1,Mumbai,800,Aircel,no,0,0,0,0
1,Mumbai,800,Idea,Bid,4,548.75,4,1
1,Mumbai,800, Tata Tele,no,0,0,0,0
1,Mumbai,800,RCL,no,0,0,0,0
1,Mumbai,800,Telewings,no,0,0,0,0
1,Mumbai,800,Bharti,no,0,0,0,0
1,Mumbai,800,Jio,no,0,0,0,0
1,Mumbai,2100,Vodafone,no,0,0,0,0
1,Mumbai,2100,Aircel,no,0,0,0,0
1,Mumbai,2100,Idea,no,0,0,0,0
1,Mumbai,2100, Tata Tele,no,0,0,0,0
1,Mumbai,2100,RCL,no,0,0,0,0
1,Mumbai,2100,Telewings,no,0,0,0,0
1,Mumbai,2100,Bharti,no,0,0,0,0
1,Mumbai,2100,Jio,no,0,0,0,0
1,North East,800,Vodafone,Bid,4,13.75,4,1
1,North East,800,Aircel,no,0,0,0,0
1,North East,800,Idea,no,0,0,0,0
1,North East,800, Tata Tele,no,0,0,0,0
1,North East,800,RCL,no,0,0,0,0
1,North East,800,Telewings,no,0,0,0,0
1,North East,800,Bharti,Bid,4,13.75,4,2
